Element Type,Element Name,Description,Identifier,Data Type
Type,,Possible error codes that can be returned by `AbandonmentEmailStateUpdateUserError`.,Type: 
Enum Value,ABANDONMENT_NOT_FOUND,Unable to find an Abandonment for the provided ID.,"Type: , Enum Value: ABANDONMENT_NOT_FOUND"
Type,,Return type for `abandonmentUpdateActivitiesDeliveryStatuses` mutation.,Type: 
Field,abandonment,The updated abandonment.,"Type: , Field: abandonment"
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors"
Type,,An error that occurs during the execution of `AbandonmentUpdateActivitiesDeliveryStatuses`.,Type: 
Field,code,The error code.,"Type: , Field: code"
Field,field,The path to the input field that caused the error.,"Type: , Field: field"
Field,message,The error message.,"Type: , Field: message"
Type,,Possible error codes that can be returned by `AbandonmentUpdateActivitiesDeliveryStatusesUserError`.,Type: 
Enum Value,ABANDONMENT_NOT_FOUND,Unable to find an Abandonment for the provided ID.,"Type: , Enum Value: ABANDONMENT_NOT_FOUND"
Enum Value,MARKETING_ACTIVITY_NOT_FOUND,Unable to find a marketing activity for the provided ID.,"Type: , Enum Value: MARKETING_ACTIVITY_NOT_FOUND"
Enum Value,DELIVERY_STATUS_INFO_NOT_FOUND,Unable to find delivery status info for the provided ID.,"Type: , Enum Value: DELIVERY_STATUS_INFO_NOT_FOUND"
Type,,"The permission required to access a Shopify Admin API or Storefront API resource for a shop. Merchants grant access scopes that are requested by applications.
",Type: 
Field,description,A description of the actions that the access scope allows an app to perform.,"Type: , Field: description"
Field,handle,"A readable string that represents the access scope. The string usually follows the format `{action}_{resource}`. `{action}` is `read` or `write`, and `{resource}` is the resource that the action can be performed on. `{action}` and `{resource}` are separated by an underscore. For example, `read_orders` or `write_products`.
","Type: , Field: handle"
Type,,Represents an operation publishing all products to a publication.,Type: 
Field,id,A globally-unique ID.,"Type: , Field: id"
Field,processedRowCount,"The count of processed rows, summing imported, failed, and skipped rows.","Type: , Field: processedRowCount"
Field,rowCount,Represents a rows objects within this background operation.,"Type: , Field: rowCount"
Field,status,The status of this operation.,"Type: , Field: status"
Type,,The additional fees that have been applied to the order.,Type: 
Field,id,A globally-unique ID.,"Type: , Field: id"
Field,name,The name of the additional fee.,"Type: , Field: name"
Field,price,The price of the additional fee.,"Type: , Field: price"
Field,taxLines,A list of taxes charged on the additional fee.,"Type: , Field: taxLines"
Type,,A sale associated with an additional fee charge.,Type: 
Field,actionType,The type of order action that the sale represents.,"Type: , Field: actionType"
Field,additionalFee,The additional fees for the associated sale.,"Type: , Field: additionalFee"
Field,id,The unique ID for the sale.,"Type: , Field: id"
Field,lineType,The line type assocated with the sale.,"Type: , Field: lineType"
Field,quantity,The number of units either ordered or intended to be returned.,"Type: , Field: quantity"
Field,taxes,All individual taxes associated with the sale.,"Type: , Field: taxes"
Field,totalAmount,The total sale amount after taxes and discounts.,"Type: , Field: totalAmount"
Field,totalDiscountAmountAfterTaxes,The total discounts allocated to the sale after taxes.,"Type: , Field: totalDiscountAmountAfterTaxes"
Field,totalDiscountAmountBeforeTaxes,The total discounts allocated to the sale before taxes.,"Type: , Field: totalDiscountAmountBeforeTaxes"
Field,totalTaxAmount,The total amount of taxes for the sale.,"Type: , Field: totalTaxAmount"
Type,,A sale associated with an order price adjustment.,Type: 
Field,actionType,The type of order action that the sale represents.,"Type: , Field: actionType"
Field,id,The unique ID for the sale.,"Type: , Field: id"
Field,lineType,The line type assocated with the sale.,"Type: , Field: lineType"
Field,quantity,The number of units either ordered or intended to be returned.,"Type: , Field: quantity"
Field,taxes,All individual taxes associated with the sale.,"Type: , Field: taxes"
Field,totalAmount,The total sale amount after taxes and discounts.,"Type: , Field: totalAmount"
Field,totalDiscountAmountAfterTaxes,The total discounts allocated to the sale after taxes.,"Type: , Field: totalDiscountAmountAfterTaxes"
Field,totalDiscountAmountBeforeTaxes,The total discounts allocated to the sale before taxes.,"Type: , Field: totalDiscountAmountBeforeTaxes"
Field,totalTaxAmount,The total amount of taxes for the sale.,"Type: , Field: totalTaxAmount"
Type,,Targets all items the cart for a specified discount.,Type: 
Field,allItems,Whether all items are eligible for the discount. This value always returns `true`.,"Type: , Field: allItems"
Type,,"A version of the API, as defined by [Shopify API versioning](https://shopify.dev/api/usage/versioning).
Versions are commonly referred to by their handle (for example, `2021-10`).
",Type: 
Field,displayName,The human-readable name of the version.,"Type: , Field: displayName"
Field,handle,The unique identifier of an ApiVersion. All supported API versions have a date-based (YYYY-MM) or `unstable` handle.,"Type: , Field: handle"
Field,supported,"Whether the version is actively supported by Shopify. Supported API versions are guaranteed to be stable. Unsupported API versions include unstable, release candidate, and end-of-life versions that are marked as unsupported. For more information, refer to [Versioning](https://shopify.dev/api/usage/versioning).","Type: , Field: supported"
Type,,A Shopify application.,Type: 
Field,apiKey,A unique application API identifier.,"Type: , Field: apiKey"
Field,appStoreAppUrl,App store page URL of the app.,"Type: , Field: appStoreAppUrl"
Field,appStoreDeveloperUrl,App store page URL of the developer who created the app.,"Type: , Field: appStoreDeveloperUrl"
Field,availableAccessScopes,The access scopes available to the app.,"Type: , Field: availableAccessScopes"
Field,banner,Banner image for the app.,"Type: , Field: banner"
Field,description,Description of the app.,"Type: , Field: description"
Field,developerName,The name of the app developer.,"Type: , Field: developerName"
Field,developerType,The type of app developer.,"Type: , Field: developerType"
Field,developerUrl,Website of the developer who created the app.,"Type: , Field: developerUrl"
Field,embedded,Whether the app uses the Embedded App SDK.,"Type: , Field: embedded"
Field,failedRequirements,Requirements that must be met before the app can be installed.,"Type: , Field: failedRequirements"
Field,features,A list of app features that are shown in the Shopify App Store listing.,"Type: , Field: features"
Field,feedback,Feedback from this app about the store.,"Type: , Field: feedback"
Field,handle,Handle of the app.,"Type: , Field: handle"
Field,icon,Icon that represents the app.,"Type: , Field: icon"
Field,id,A globally-unique ID.,"Type: , Field: id"
Field,installUrl,Webpage where you can install the app.,"Type: , Field: installUrl"
Field,installation,"Corresponding AppInstallation for this shop and App.
Returns null if the App is not installed.
","Type: , Field: installation"
Field,isPostPurchaseAppInUse,"Whether the app is the [post purchase](https://shopify.dev/apps/checkout/post-purchase) app in use.
","Type: , Field: isPostPurchaseAppInUse"
Field,launchUrl,Webpage that the app starts in.,"Type: , Field: launchUrl"
Field,navigationItems,"Menu items for the app, which also appear as submenu items in left navigation sidebar in the Shopify admin.
","Type: , Field: navigationItems"
Field,previouslyInstalled,Whether the app was previously installed on the current shop.,"Type: , Field: previouslyInstalled"
Field,pricingDetails,Detailed information about the app pricing.,"Type: , Field: pricingDetails"
Field,pricingDetailsSummary,Summary of the app pricing details.,"Type: , Field: pricingDetailsSummary"
Field,privacyPolicyUrl,Link to app privacy policy.,"Type: , Field: privacyPolicyUrl"
Field,publicCategory,The public category for the app.,"Type: , Field: publicCategory"
Field,published,Whether the app is published to the Shopify App Store.,"Type: , Field: published"
Field,requestedAccessScopes,The access scopes requested by the app.,"Type: , Field: requestedAccessScopes"
Field,screenshots,Screenshots of the app.,"Type: , Field: screenshots"
Field,shopifyDeveloped,Whether the app was developed by Shopify.,"Type: , Field: shopifyDeveloped"
Field,title,Name of the app.,"Type: , Field: title"
Field,uninstallMessage,"Message that appears when the app is uninstalled. For example:
By removing this app, you will no longer be able to publish products to MySocialSite or view this app in your Shopify admin. You can re-enable this channel at any time.
","Type: , Field: uninstallMessage"
Field,uninstallUrl,Webpage where you can uninstall the app.,"Type: , Field: uninstallUrl"
Field,webhookApiVersion,The webhook API version for the app.,"Type: , Field: webhookApiVersion"
Type,,"A catalog that defines the publication associated with an app.
",Type: 
Field,apps,The apps associated with the catalog.,"Type: , Field: apps"
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: apps, Argument: first"
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: apps, Argument: after"
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: apps, Argument: last"
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: apps, Argument: before"
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: apps, Argument: reverse"
Field,id,A globally-unique ID.,"Type: , Field: id"
Field,operations,Most recent catalog operations.,"Type: , Field: operations"
Field,priceList,The price list associated with the catalog.,"Type: , Field: priceList"
Field,publication,A group of products and collections that's published to a catalog.,"Type: , Field: publication"
Field,status,The status of the catalog.,"Type: , Field: status"
Field,title,The name of the catalog.,"Type: , Field: title"
Type,,"An auto-generated type for paginating through multiple Apps.
",Type: 
Field,edges,A list of edges.,"Type: , Field: edges"
Field,nodes,A list of the nodes contained in AppEdge.,"Type: , Field: nodes"
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo"
Type,,"App credits can be applied by the merchant towards future app purchases, subscriptions, or usage records in Shopify.",Type: 
Field,amount,The amount that can be used towards future app purchases in Shopify.,"Type: , Field: amount"
Field,createdAt,The date and time when the app credit was created.,"Type: , Field: createdAt"
Field,description,The description of the app credit.,"Type: , Field: description"
Field,id,A globally-unique ID.,"Type: , Field: id"
Field,test,Whether the app credit is a test transaction.,"Type: , Field: test"
Type,,"An auto-generated type for paginating through multiple AppCredits.
",Type: 
Field,edges,A list of edges.,"Type: , Field: edges"
Field,nodes,A list of the nodes contained in AppCreditEdge.,"Type: , Field: nodes"
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo"
Type,,"An auto-generated type which holds one AppCredit and a cursor during pagination.
",Type: 
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor"
Field,node,The item at the end of AppCreditEdge.,"Type: , Field: node"
Type,,Possible types of app developer.,Type: 
Enum Value,SHOPIFY,Indicates the app developer is Shopify.,"Type: , Enum Value: SHOPIFY"
Enum Value,PARTNER,Indicates the app developer is a Partner.,"Type: , Enum Value: PARTNER"
Enum Value,MERCHANT,Indicates the app developer works directly for a Merchant.,"Type: , Enum Value: MERCHANT"
Enum Value,UNKNOWN,Indicates the app developer is unknown. It is not categorized as any of the other developer types.,"Type: , Enum Value: UNKNOWN"
Type,,A script that defines a discount type.,Type: 
Field,app,The app providing the app discount type.,"Type: , Field: app"
Field,appBridge,The App Bridge details for discount type configuration.,"Type: , Field: appBridge"
Field,appKey,The client ID of the app providing the app discount type.,"Type: , Field: appKey"
Field,description,A description of the app discount type.,"Type: , Field: description"
Field,discountClass,The class of the app discount type.,"Type: , Field: discountClass"
Field,functionId,The ID of the function providing the app discount type.,"Type: , Field: functionId"
Field,targetType,The target type of the app discount type. Possible values: `SHIPPING_LINE` and `LINE_ITEM`.,"Type: , Field: targetType"
Field,title,The title of the app discount type.,"Type: , Field: title"
Type,,"An auto-generated type which holds one App and a cursor during pagination.
",Type: 
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor"
Field,node,The item at the end of AppEdge.,"Type: , Field: node"
Type,,"Reports the status of shops and their resources and displays this information
within Shopify admin. AppFeedback is used to notify merchants about steps they need to take
to set up an app on their store.
",Type: 
Field,app,The application associated to the feedback.,"Type: , Field: app"
Field,link,A link to where merchants can resolve errors.,"Type: , Field: link"
Field,messages,The feedback message presented to the merchant.,"Type: , Field: messages"
Type,,Represents an installed application on a shop.,Type: 
Field,accessScopes,The access scopes granted to the application by a merchant during installation.,"Type: , Field: accessScopes"
Field,activeSubscriptions,The active application subscriptions billed to the shop on a recurring basis.,"Type: , Field: activeSubscriptions"
Field,allSubscriptions,All subscriptions created for a shop.,"Type: , Field: allSubscriptions"
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: allSubscriptions, Argument: first"
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: allSubscriptions, Argument: after"
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: allSubscriptions, Argument: last"
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: allSubscriptions, Argument: before"
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: allSubscriptions, Argument: reverse"
Argument,sortKey,Sort the underlying list by the given key.,"Type: , Field: allSubscriptions, Argument: sortKey"
Field,app,Application which is installed.,"Type: , Field: app"
Field,channel,Channel associated with the installed application.,"Type: , Field: channel"
Field,credits,Credits that can be used towards future app purchases.,"Type: , Field: credits"
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: credits, Argument: first"
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: credits, Argument: after"
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: credits, Argument: last"
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: credits, Argument: before"
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: credits, Argument: reverse"
Argument,sortKey,Sort the underlying list by the given key.,"Type: , Field: credits, Argument: sortKey"
Field,id,A globally-unique ID.,"Type: , Field: id"
Field,launchUrl,The URL to launch the application.,"Type: , Field: launchUrl"
Field,metafield,Returns a metafield by namespace and key that belongs to the resource.,"Type: , Field: metafield"
Argument,namespace,The namespace for the metafield.,"Type: , Field: metafield, Argument: namespace"
Argument,key,The key for the metafield.,"Type: , Field: metafield, Argument: key"
Field,metafields,List of metafields that belong to the resource.,"Type: , Field: metafields"
Argument,namespace,The metafield namespace to filter by.,"Type: , Field: metafields, Argument: namespace"
Argument,keys,"List of keys of metafields in the format `namespace.key`, will be returned in the same format.","Type: , Field: metafields, Argument: keys"
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: metafields, Argument: first"
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: metafields, Argument: after"
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: metafields, Argument: last"
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: metafields, Argument: before"
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: metafields, Argument: reverse"
Field,oneTimePurchases,One-time purchases to a shop.,"Type: , Field: oneTimePurchases"
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: oneTimePurchases, Argument: first"
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: oneTimePurchases, Argument: after"
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: oneTimePurchases, Argument: last"
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: oneTimePurchases, Argument: before"
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: oneTimePurchases, Argument: reverse"
Argument,sortKey,Sort the underlying list by the given key.,"Type: , Field: oneTimePurchases, Argument: sortKey"
Field,privateMetafield,Returns a private metafield by namespace and key that belongs to the resource.,"Type: , Field: privateMetafield"
Argument,namespace,The namespace for the private metafield.,"Type: , Field: privateMetafield, Argument: namespace"
Argument,key,The key for the private metafield.,"Type: , Field: privateMetafield, Argument: key"
Field,privateMetafields,List of private metafields that belong to the resource.,"Type: , Field: privateMetafields"
Argument,namespace,Filter the private metafields by namespace.,"Type: , Field: privateMetafields, Argument: namespace"
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: privateMetafields, Argument: first"
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: privateMetafields, Argument: after"
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: privateMetafields, Argument: last"
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: privateMetafields, Argument: before"
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: privateMetafields, Argument: reverse"
Field,publication,The publication associated with the installed application.,"Type: , Field: publication"
Field,revenueAttributionRecords,The records that track the externally-captured revenue for the app. The records are used for revenue attribution purposes.,"Type: , Field: revenueAttributionRecords"
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: revenueAttributionRecords, Argument: first"
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: revenueAttributionRecords, Argument: after"
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: revenueAttributionRecords, Argument: last"
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: revenueAttributionRecords, Argument: before"
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: revenueAttributionRecords, Argument: reverse"
Argument,sortKey,Sort the underlying list by the given key.,"Type: , Field: revenueAttributionRecords, Argument: sortKey"
Field,subscriptions,Subscriptions charge to a shop on a recurring basis.,"Type: , Field: subscriptions"
Field,uninstallUrl,The URL to uninstall the application.,"Type: , Field: uninstallUrl"
Type,,"The possible categories of an app installation, based on their purpose
or the environment they can run in.
",Type: 
Enum Value,CHANNEL,"Apps that serve as channels through which sales are made, such as the online store.","Type: , Enum Value: CHANNEL"
Enum Value,POS_EMBEDDED,Apps that can be used in the POS mobile client.,"Type: , Enum Value: POS_EMBEDDED"
Type,,"An auto-generated type for paginating through multiple AppInstallations.
",Type: 
Field,edges,A list of edges.,"Type: , Field: edges"
Field,nodes,A list of the nodes contained in AppInstallationEdge.,"Type: , Field: nodes"
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo"
Type,,"An auto-generated type which holds one AppInstallation and a cursor during pagination.
",Type: 
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor"
Field,node,The item at the end of AppInstallationEdge.,"Type: , Field: node"
Type,,The levels of privacy of an app installation.,Type: 
Type,,The set of valid sort keys for the AppInstallation query.,Type: 
Enum Value,INSTALLED_AT,Sort by the `installed_at` value.,"Type: , Enum Value: INSTALLED_AT"
Enum Value,APP_TITLE,Sort by the `app_title` value.,"Type: , Enum Value: APP_TITLE"
Enum Value,ID,Sort by the `id` value.,"Type: , Enum Value: ID"
Enum Value,RELEVANCE,"Sort by relevance to the search terms when the `query` parameter is specified on the connection.
Don't use this sort key when no search query is specified.
","Type: , Enum Value: RELEVANCE"
Type,,"The pricing model for the app subscription.
The pricing model input can be either `appRecurringPricingDetails` or `appUsagePricingDetails`.
",Type: 
Type,,The app plan that the merchant is subscribed to.,Type: 
Field,pricingDetails,The plan billed to a shop on a recurring basis.,"Type: , Field: pricingDetails"
Type,,"The information about the price that's charged to a shop every plan period.
The concrete type can be `AppRecurringPricing` for recurring billing or `AppUsagePricing` for usage-based billing.
",Type: 
Type,,The frequency at which the shop is billed for an app subscription.,Type: 
Enum Value,ANNUAL,The app subscription bills the shop annually.,"Type: , Enum Value: ANNUAL"
Enum Value,EVERY_30_DAYS,The app subscription bills the shop every 30 days.,"Type: , Enum Value: EVERY_30_DAYS"
Type,,The public-facing category for an app.,Type: 
Enum Value,PRIVATE,The app's public category is [private](https://shopify.dev/apps/distribution#deprecated-app-types).,"Type: , Enum Value: PRIVATE"
Enum Value,PUBLIC,The app's public category is [public](https://shopify.dev/apps/distribution#capabilities-and-requirements).,"Type: , Enum Value: PUBLIC"
Enum Value,CUSTOM,The app's public category is [custom](https://shopify.dev/apps/distribution#capabilities-and-requirements).,"Type: , Enum Value: CUSTOM"
Enum Value,OTHER,"The app's public category is other. An app is in this category if it's not classified under any of the other app types (private, public, or custom).","Type: , Enum Value: OTHER"
Type,,Services and features purchased once by the store.,Type: 
Field,createdAt,The date and time when the app purchase occurred.,"Type: , Field: createdAt"
Field,name,The name of the app purchase.,"Type: , Field: name"
Field,price,The amount to be charged to the store for the app purchase.,"Type: , Field: price"
Field,status,The status of the app purchase.,"Type: , Field: status"
Field,test,Whether the app purchase is a test transaction.,"Type: , Field: test"
Type,,Services and features purchased once by a store.,Type: 
Field,createdAt,The date and time when the app purchase occurred.,"Type: , Field: createdAt"
Field,id,A globally-unique ID.,"Type: , Field: id"
Field,name,The name of the app purchase.,"Type: , Field: name"
Field,price,The amount to be charged to the store for the app purchase.,"Type: , Field: price"
Field,status,The status of the app purchase.,"Type: , Field: status"
Field,test,Whether the app purchase is a test transaction.,"Type: , Field: test"
Type,,"An auto-generated type for paginating through multiple AppPurchaseOneTimes.
",Type: 
Field,edges,A list of edges.,"Type: , Field: edges"
Field,nodes,A list of the nodes contained in AppPurchaseOneTimeEdge.,"Type: , Field: nodes"
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo"
Type,,Return type for `appPurchaseOneTimeCreate` mutation.,Type: 
Field,appPurchaseOneTime,The newly created app one-time purchase.,"Type: , Field: appPurchaseOneTime"
Field,confirmationUrl,"The URL that the merchant can access to approve or decline the newly created app one-time purchase.

If the merchant declines, then the merchant is redirected to the app and receives a notification message stating that the charge was declined.
If the merchant approves and they're successfully invoiced, then the state of the charge changes from `pending` to `active`.

You get paid after the charge is activated.
","Type: , Field: confirmationUrl"
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors"
Type,,"An auto-generated type which holds one AppPurchaseOneTime and a cursor during pagination.
",Type: 
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor"
Field,node,The item at the end of AppPurchaseOneTimeEdge.,"Type: , Field: node"
Type,,"The approval status of the app purchase.

The merchant is charged for the purchase immediately after approval, and the status changes to `active`.
If the payment fails, then the app purchase remains `pending`.

Purchases start as `pending` and can change to: `active`, `declined`, `expired`. After a purchase changes, it
remains in that final state.
",Type: 
Enum Value,ACCEPTED,The app purchase has been approved by the merchant and is ready to be activated by the app. App purchases created through the GraphQL Admin API are activated upon approval.,"Type: , Enum Value: ACCEPTED"
Enum Value,ACTIVE,The app purchase was approved by the merchant and has been activated by the app. Active app purchases are charged to the merchant and are paid out to the partner.,"Type: , Enum Value: ACTIVE"
Enum Value,DECLINED,The app purchase was declined by the merchant.,"Type: , Enum Value: DECLINED"
Enum Value,EXPIRED,The app purchase was not accepted within two days of being created.,"Type: , Enum Value: EXPIRED"
Enum Value,PENDING,The app purchase is pending approval by the merchant.,"Type: , Enum Value: PENDING"
Type,,"The pricing information about a subscription app.
The object contains an interval (the frequency at which the shop is billed for an app subscription) and
a price (the amount to be charged to the subscribing shop at each interval).
",Type: 
Field,discount,The discount applied to the subscription for a given number of billing intervals.,"Type: , Field: discount"
Field,interval,The frequency at which the subscribing shop is billed for an app subscription.,"Type: , Field: interval"
