Element Type,Element Name,Description,Identifier,Data Type
Field,productsAddedToCart,The products added to the cart during the customer abandoned visit.,"Type: , Field: productsAddedToCart",#<GraphQL::Schema::NonNull:0x00000001068fba18>
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: productsAddedToCart, Argument: first",GraphQL::Types::Int
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: productsAddedToCart, Argument: after",GraphQL::Types::String
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: productsAddedToCart, Argument: last",GraphQL::Types::Int
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: productsAddedToCart, Argument: before",GraphQL::Types::String
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: productsAddedToCart, Argument: reverse",GraphQL::Types::Boolean
Field,productsViewed,The products viewed during the customer abandoned visit.,"Type: , Field: productsViewed",#<GraphQL::Schema::NonNull:0x00000001068fba18>
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: productsViewed, Argument: first",GraphQL::Types::Int
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: productsViewed, Argument: after",GraphQL::Types::String
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: productsViewed, Argument: last",GraphQL::Types::Int
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: productsViewed, Argument: before",GraphQL::Types::String
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: productsViewed, Argument: reverse",GraphQL::Types::Boolean
Field,visitStartedAt,The date and time when the visit started.,"Type: , Field: visitStartedAt",#<Class:0x0000000100b73d50>
Type,GraphQL::Types::Float,Represents signed double-precision fractional values as specified by [IEEE 754](https://en.wikipedia.org/wiki/IEEE_floating_point).,Type: GraphQL::Types::Float,N/A
Type,,Specifies the abandonment type.,Type: ,N/A
Enum Value,BROWSE,The abandonment event is an abandoned browse.,"Type: , Enum Value: BROWSE",N/A
Enum Value,CART,The abandonment event is an abandoned cart.,"Type: , Enum Value: CART",N/A
Enum Value,CHECKOUT,The abandonment event is an abandoned checkout.,"Type: , Enum Value: CHECKOUT",N/A
Type,,Specifies the delivery state of a marketing activity.,Type: ,N/A
Enum Value,NOT_SENT,The marketing activity action has not yet been sent.,"Type: , Enum Value: NOT_SENT",N/A
Enum Value,SENT,The marketing activity action has been sent.,"Type: , Enum Value: SENT",N/A
Enum Value,SCHEDULED,The marketing activity action has been scheduled for later delivery.,"Type: , Enum Value: SCHEDULED",N/A
Type,,Specifies the email state.,Type: ,N/A
Enum Value,NOT_SENT,The email has not yet been sent.,"Type: , Enum Value: NOT_SENT",N/A
Enum Value,SENT,The email has been sent.,"Type: , Enum Value: SENT",N/A
Enum Value,SCHEDULED,The email has been scheduled for later delivery.,"Type: , Enum Value: SCHEDULED",N/A
Type,,Return type for `abandonmentEmailStateUpdate` mutation.,Type: ,N/A
Field,abandonment,The updated abandonment.,"Type: , Field: abandonment",#<Class:0x00000001038a4068>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x00000001068fb360>
Type,,An error that occurs during the execution of `AbandonmentEmailStateUpdate`.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x00000001038a2588>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x000000010477b258>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x000000010477af88>
Type,,Possible error codes that can be returned by `AbandonmentEmailStateUpdateUserError`.,Type: ,N/A
Enum Value,ABANDONMENT_NOT_FOUND,Unable to find an Abandonment for the provided ID.,"Type: , Enum Value: ABANDONMENT_NOT_FOUND",N/A
Type,,Return type for `abandonmentUpdateActivitiesDeliveryStatuses` mutation.,Type: ,N/A
Field,abandonment,The updated abandonment.,"Type: , Field: abandonment",#<Class:0x00000001038a4068>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x00000001068fa410>
Type,,An error that occurs during the execution of `AbandonmentUpdateActivitiesDeliveryStatuses`.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x00000001038a1d68>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x0000000104779840>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x00000001047795e8>
Type,,Possible error codes that can be returned by `AbandonmentUpdateActivitiesDeliveryStatusesUserError`.,Type: ,N/A
Enum Value,ABANDONMENT_NOT_FOUND,Unable to find an Abandonment for the provided ID.,"Type: , Enum Value: ABANDONMENT_NOT_FOUND",N/A
Enum Value,MARKETING_ACTIVITY_NOT_FOUND,Unable to find a marketing activity for the provided ID.,"Type: , Enum Value: MARKETING_ACTIVITY_NOT_FOUND",N/A
Enum Value,DELIVERY_STATUS_INFO_NOT_FOUND,Unable to find delivery status info for the provided ID.,"Type: , Enum Value: DELIVERY_STATUS_INFO_NOT_FOUND",N/A
Type,,"The permission required to access a Shopify Admin API or Storefront API resource for a shop. Merchants grant access scopes that are requested by applications.
",Type: ,N/A
Field,description,A description of the actions that the access scope allows an app to perform.,"Type: , Field: description",#<GraphQL::Schema::NonNull:0x0000000104778b20>
Field,handle,"A readable string that represents the access scope. The string usually follows the format `{action}_{resource}`. `{action}` is `read` or `write`, and `{resource}` is the resource that the action can be performed on. `{action}` and `{resource}` are separated by an underscore. For example, `read_orders` or `write_products`.
","Type: , Field: handle",#<GraphQL::Schema::NonNull:0x0000000104778760>
Type,,Represents an operation publishing all products to a publication.,Type: ,N/A
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x00000001047780d0>
Field,processedRowCount,"The count of processed rows, summing imported, failed, and skipped rows.","Type: , Field: processedRowCount",GraphQL::Types::Int
Field,rowCount,Represents a rows objects within this background operation.,"Type: , Field: rowCount",#<Class:0x00000001065b1380>
Field,status,The status of this operation.,"Type: , Field: status",#<GraphQL::Schema::NonNull:0x00000001068f9ec0>
Type,,The additional fees that have been applied to the order.,Type: ,N/A
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104776f78>
Field,name,The name of the additional fee.,"Type: , Field: name",#<GraphQL::Schema::NonNull:0x0000000104776bb8>
Field,price,The price of the additional fee.,"Type: , Field: price",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Field,taxLines,A list of taxes charged on the additional fee.,"Type: , Field: taxLines",#<GraphQL::Schema::NonNull:0x00000001068f93f8>
Type,,A sale associated with an additional fee charge.,Type: ,N/A
Field,actionType,The type of order action that the sale represents.,"Type: , Field: actionType",#<GraphQL::Schema::NonNull:0x00000001068f8f48>
Field,additionalFee,The additional fees for the associated sale.,"Type: , Field: additionalFee",#<GraphQL::Schema::NonNull:0x00000001068f8e80>
Field,id,The unique ID for the sale.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104775498>
Field,lineType,The line type assocated with the sale.,"Type: , Field: lineType",#<GraphQL::Schema::NonNull:0x00000001068f8d90>
Field,quantity,The number of units either ordered or intended to be returned.,"Type: , Field: quantity",GraphQL::Types::Int
Field,taxes,All individual taxes associated with the sale.,"Type: , Field: taxes",#<GraphQL::Schema::NonNull:0x00000001068f8c78>
Field,totalAmount,The total sale amount after taxes and discounts.,"Type: , Field: totalAmount",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Field,totalDiscountAmountAfterTaxes,The total discounts allocated to the sale after taxes.,"Type: , Field: totalDiscountAmountAfterTaxes",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Field,totalDiscountAmountBeforeTaxes,The total discounts allocated to the sale before taxes.,"Type: , Field: totalDiscountAmountBeforeTaxes",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Field,totalTaxAmount,The total amount of taxes for the sale.,"Type: , Field: totalTaxAmount",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Type,,A sale associated with an order price adjustment.,Type: ,N/A
Field,actionType,The type of order action that the sale represents.,"Type: , Field: actionType",#<GraphQL::Schema::NonNull:0x00000001068f8f48>
Field,id,The unique ID for the sale.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104772e50>
Field,lineType,The line type assocated with the sale.,"Type: , Field: lineType",#<GraphQL::Schema::NonNull:0x00000001068f8d90>
Field,quantity,The number of units either ordered or intended to be returned.,"Type: , Field: quantity",GraphQL::Types::Int
Field,taxes,All individual taxes associated with the sale.,"Type: , Field: taxes",#<GraphQL::Schema::NonNull:0x00000001068f8c78>
Field,totalAmount,The total sale amount after taxes and discounts.,"Type: , Field: totalAmount",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Field,totalDiscountAmountAfterTaxes,The total discounts allocated to the sale after taxes.,"Type: , Field: totalDiscountAmountAfterTaxes",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Field,totalDiscountAmountBeforeTaxes,The total discounts allocated to the sale before taxes.,"Type: , Field: totalDiscountAmountBeforeTaxes",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Field,totalTaxAmount,The total amount of taxes for the sale.,"Type: , Field: totalTaxAmount",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Type,,Targets all items the cart for a specified discount.,Type: ,N/A
Field,allItems,Whether all items are eligible for the discount. This value always returns `true`.,"Type: , Field: allItems",#<GraphQL::Schema::NonNull:0x00000001047710f0>
Type,,"A version of the API, as defined by [Shopify API versioning](https://shopify.dev/api/usage/versioning).
Versions are commonly referred to by their handle (for example, `2021-10`).
",Type: ,N/A
Field,displayName,The human-readable name of the version.,"Type: , Field: displayName",#<GraphQL::Schema::NonNull:0x0000000104770948>
Field,handle,The unique identifier of an ApiVersion. All supported API versions have a date-based (YYYY-MM) or `unstable` handle.,"Type: , Field: handle",#<GraphQL::Schema::NonNull:0x00000001047703d0>
Field,supported,"Whether the version is actively supported by Shopify. Supported API versions are guaranteed to be stable. Unsupported API versions include unstable, release candidate, and end-of-life versions that are marked as unsupported. For more information, refer to [Versioning](https://shopify.dev/api/usage/versioning).","Type: , Field: supported",#<GraphQL::Schema::NonNull:0x0000000104770178>
Type,,A Shopify application.,Type: ,N/A
Field,apiKey,A unique application API identifier.,"Type: , Field: apiKey",#<GraphQL::Schema::NonNull:0x000000010479fb58>
Field,appStoreAppUrl,App store page URL of the app.,"Type: , Field: appStoreAppUrl",#<Class:0x0000000106516c40>
Field,appStoreDeveloperUrl,App store page URL of the developer who created the app.,"Type: , Field: appStoreDeveloperUrl",#<Class:0x0000000106516c40>
Field,availableAccessScopes,The access scopes available to the app.,"Type: , Field: availableAccessScopes",#<GraphQL::Schema::NonNull:0x000000010479eca8>
Field,banner,Banner image for the app.,"Type: , Field: banner",#<GraphQL::Schema::NonNull:0x00000001068f7fd0>
Field,description,Description of the app.,"Type: , Field: description",GraphQL::Types::String
Field,developerName,The name of the app developer.,"Type: , Field: developerName",GraphQL::Types::String
Field,developerType,The type of app developer.,"Type: , Field: developerType",#<GraphQL::Schema::NonNull:0x00000001068f7f08>
Field,developerUrl,Website of the developer who created the app.,"Type: , Field: developerUrl",#<GraphQL::Schema::NonNull:0x00000001068fcd00>
Field,embedded,Whether the app uses the Embedded App SDK.,"Type: , Field: embedded",#<GraphQL::Schema::NonNull:0x000000010479d3d0>
Field,failedRequirements,Requirements that must be met before the app can be installed.,"Type: , Field: failedRequirements",#<GraphQL::Schema::NonNull:0x00000001068f7d78>
Field,features,A list of app features that are shown in the Shopify App Store listing.,"Type: , Field: features",#<GraphQL::Schema::NonNull:0x000000010479ccf0>
Field,feedback,Feedback from this app about the store.,"Type: , Field: feedback",#<Class:0x0000000100b2e570>
Field,handle,Handle of the app.,"Type: , Field: handle",GraphQL::Types::String
Field,icon,Icon that represents the app.,"Type: , Field: icon",#<GraphQL::Schema::NonNull:0x00000001068f7fd0>
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x000000010479c228>
Field,installUrl,Webpage where you can install the app.,"Type: , Field: installUrl",#<Class:0x0000000106516c40>
Field,installation,"Corresponding AppInstallation for this shop and App.
Returns null if the App is not installed.
","Type: , Field: installation",#<Class:0x0000000100b2ddf0>
Field,isPostPurchaseAppInUse,"Whether the app is the [post purchase](https://shopify.dev/apps/checkout/post-purchase) app in use.
","Type: , Field: isPostPurchaseAppInUse",#<GraphQL::Schema::NonNull:0x000000010479b8f0>
Field,launchUrl,Webpage that the app starts in.,"Type: , Field: launchUrl",#<GraphQL::Schema::NonNull:0x00000001068fcd00>
Field,navigationItems,"Menu items for the app, which also appear as submenu items in left navigation sidebar in the Shopify admin.
","Type: , Field: navigationItems",#<GraphQL::Schema::NonNull:0x00000001068f7b20>
Field,previouslyInstalled,Whether the app was previously installed on the current shop.,"Type: , Field: previouslyInstalled",#<GraphQL::Schema::NonNull:0x000000010479a450>
Field,pricingDetails,Detailed information about the app pricing.,"Type: , Field: pricingDetails",GraphQL::Types::String
Field,pricingDetailsSummary,Summary of the app pricing details.,"Type: , Field: pricingDetailsSummary",#<GraphQL::Schema::NonNull:0x0000000104799d20>
Field,privacyPolicyUrl,Link to app privacy policy.,"Type: , Field: privacyPolicyUrl",#<Class:0x0000000106516c40>
Field,publicCategory,The public category for the app.,"Type: , Field: publicCategory",#<GraphQL::Schema::NonNull:0x00000001068f7a30>
Field,published,Whether the app is published to the Shopify App Store.,"Type: , Field: published",#<GraphQL::Schema::NonNull:0x00000001047991b8>
Field,requestedAccessScopes,The access scopes requested by the app.,"Type: , Field: requestedAccessScopes",#<GraphQL::Schema::NonNull:0x0000000104798e98>
Field,screenshots,Screenshots of the app.,"Type: , Field: screenshots",#<GraphQL::Schema::NonNull:0x00000001068f7968>
Field,shopifyDeveloped,Whether the app was developed by Shopify.,"Type: , Field: shopifyDeveloped",#<GraphQL::Schema::NonNull:0x00000001047987b8>
Field,title,Name of the app.,"Type: , Field: title",#<GraphQL::Schema::NonNull:0x0000000104798470>
Field,uninstallMessage,"Message that appears when the app is uninstalled. For example:
By removing this app, you will no longer be able to publish products to MySocialSite or view this app in your Shopify admin. You can re-enable this channel at any time.
","Type: , Field: uninstallMessage",#<GraphQL::Schema::NonNull:0x00000001047981f0>
Field,uninstallUrl,Webpage where you can uninstall the app.,"Type: , Field: uninstallUrl",#<Class:0x0000000106516c40>
Field,webhookApiVersion,The webhook API version for the app.,"Type: , Field: webhookApiVersion",#<GraphQL::Schema::NonNull:0x00000001047976d8>
Type,,"A catalog that defines the publication associated with an app.
",Type: ,N/A
Field,apps,The apps associated with the catalog.,"Type: , Field: apps",#<GraphQL::Schema::NonNull:0x00000001068f74b8>
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: apps, Argument: first",GraphQL::Types::Int
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: apps, Argument: after",GraphQL::Types::String
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: apps, Argument: last",GraphQL::Types::Int
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: apps, Argument: before",GraphQL::Types::String
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: apps, Argument: reverse",GraphQL::Types::Boolean
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104795ba8>
Field,operations,Most recent catalog operations.,"Type: , Field: operations",#<GraphQL::Schema::NonNull:0x00000001068f7378>
Field,priceList,The price list associated with the catalog.,"Type: , Field: priceList",#<Class:0x0000000105430d40>
Field,publication,A group of products and collections that's published to a catalog.,"Type: , Field: publication",#<Class:0x00000001063962d0>
Field,status,The status of the catalog.,"Type: , Field: status",#<GraphQL::Schema::NonNull:0x00000001068f7260>
Field,title,The name of the catalog.,"Type: , Field: title",#<GraphQL::Schema::NonNull:0x0000000104794cf8>
Type,,"An auto-generated type for paginating through multiple Apps.
",Type: ,N/A
Field,edges,A list of edges.,"Type: , Field: edges",#<GraphQL::Schema::NonNull:0x00000001068f6978>
Field,nodes,A list of the nodes contained in AppEdge.,"Type: , Field: nodes",#<GraphQL::Schema::NonNull:0x0000000104794370>
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo",#<GraphQL::Schema::NonNull:0x00000001068f6888>
Type,,"App credits can be applied by the merchant towards future app purchases, subscriptions, or usage records in Shopify.",Type: ,N/A
Field,amount,The amount that can be used towards future app purchases in Shopify.,"Type: , Field: amount",#<GraphQL::Schema::NonNull:0x00000001068f67c0>
Field,createdAt,The date and time when the app credit was created.,"Type: , Field: createdAt",#<GraphQL::Schema::NonNull:0x00000001068fbd38>
Field,description,The description of the app credit.,"Type: , Field: description",#<GraphQL::Schema::NonNull:0x0000000104793178>
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104792f20>
Field,test,Whether the app credit is a test transaction.,"Type: , Field: test",#<GraphQL::Schema::NonNull:0x0000000104792cc8>
Type,,"An auto-generated type for paginating through multiple AppCredits.
",Type: ,N/A
Field,edges,A list of edges.,"Type: , Field: edges",#<GraphQL::Schema::NonNull:0x00000001068f6270>
Field,nodes,A list of the nodes contained in AppCreditEdge.,"Type: , Field: nodes",#<GraphQL::Schema::NonNull:0x0000000104792368>
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo",#<GraphQL::Schema::NonNull:0x00000001068f6888>
Type,,"An auto-generated type which holds one AppCredit and a cursor during pagination.
",Type: ,N/A
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor",#<GraphQL::Schema::NonNull:0x0000000104791b48>
Field,node,The item at the end of AppCreditEdge.,"Type: , Field: node",#<GraphQL::Schema::NonNull:0x0000000104791760>
Type,,Possible types of app developer.,Type: ,N/A
Enum Value,SHOPIFY,Indicates the app developer is Shopify.,"Type: , Enum Value: SHOPIFY",N/A
Enum Value,PARTNER,Indicates the app developer is a Partner.,"Type: , Enum Value: PARTNER",N/A
Enum Value,MERCHANT,Indicates the app developer works directly for a Merchant.,"Type: , Enum Value: MERCHANT",N/A
Enum Value,UNKNOWN,Indicates the app developer is unknown. It is not categorized as any of the other developer types.,"Type: , Enum Value: UNKNOWN",N/A
Type,,A script that defines a discount type.,Type: ,N/A
Field,app,The app providing the app discount type.,"Type: , Field: app",#<GraphQL::Schema::NonNull:0x0000000104790ab8>
Field,appBridge,The App Bridge details for discount type configuration.,"Type: , Field: appBridge",#<GraphQL::Schema::NonNull:0x00000001068f6130>
Field,appKey,The client ID of the app providing the app discount type.,"Type: , Field: appKey",#<GraphQL::Schema::NonNull:0x00000001047902c0>
Field,description,A description of the app discount type.,"Type: , Field: description",GraphQL::Types::String
Field,discountClass,The class of the app discount type.,"Type: , Field: discountClass",#<GraphQL::Schema::NonNull:0x00000001068f6068>
Field,functionId,The ID of the function providing the app discount type.,"Type: , Field: functionId",#<GraphQL::Schema::NonNull:0x00000001047df820>
Field,targetType,The target type of the app discount type. Possible values: `SHIPPING_LINE` and `LINE_ITEM`.,"Type: , Field: targetType",#<GraphQL::Schema::NonNull:0x00000001068f5fa0>
Field,title,The title of the app discount type.,"Type: , Field: title",#<GraphQL::Schema::NonNull:0x00000001047defd8>
Type,,"An auto-generated type which holds one App and a cursor during pagination.
",Type: ,N/A
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor",#<GraphQL::Schema::NonNull:0x00000001047deb28>
Field,node,The item at the end of AppEdge.,"Type: , Field: node",#<GraphQL::Schema::NonNull:0x00000001047de768>
Type,,"Reports the status of shops and their resources and displays this information
within Shopify admin. AppFeedback is used to notify merchants about steps they need to take
to set up an app on their store.
",Type: ,N/A
Field,app,The application associated to the feedback.,"Type: , Field: app",#<GraphQL::Schema::NonNull:0x00000001047de2b8>
Field,link,A link to where merchants can resolve errors.,"Type: , Field: link",#<Class:0x0000000105c96188>
Field,messages,The feedback message presented to the merchant.,"Type: , Field: messages",#<GraphQL::Schema::NonNull:0x00000001068f5e38>
Type,,Represents an installed application on a shop.,Type: ,N/A
Field,accessScopes,The access scopes granted to the application by a merchant during installation.,"Type: , Field: accessScopes",#<GraphQL::Schema::NonNull:0x00000001047dd4d0>
Field,activeSubscriptions,The active application subscriptions billed to the shop on a recurring basis.,"Type: , Field: activeSubscriptions",#<GraphQL::Schema::NonNull:0x00000001068f5d20>
Field,allSubscriptions,All subscriptions created for a shop.,"Type: , Field: allSubscriptions",#<GraphQL::Schema::NonNull:0x00000001068f5c58>
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: allSubscriptions, Argument: first",GraphQL::Types::Int
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: allSubscriptions, Argument: after",GraphQL::Types::String
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: allSubscriptions, Argument: last",GraphQL::Types::Int
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: allSubscriptions, Argument: before",GraphQL::Types::String
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: allSubscriptions, Argument: reverse",GraphQL::Types::Boolean
Argument,sortKey,Sort the underlying list by the given key.,"Type: , Field: allSubscriptions, Argument: sortKey",#<Class:0x0000000100ae5c80>
Field,app,Application which is installed.,"Type: , Field: app",#<GraphQL::Schema::NonNull:0x00000001047dab90>
Field,channel,Channel associated with the installed application.,"Type: , Field: channel",#<Class:0x0000000100a63528>
Field,credits,Credits that can be used towards future app purchases.,"Type: , Field: credits",#<GraphQL::Schema::NonNull:0x00000001047da2d0>
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: credits, Argument: first",GraphQL::Types::Int
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: credits, Argument: after",GraphQL::Types::String
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: credits, Argument: last",GraphQL::Types::Int
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: credits, Argument: before",GraphQL::Types::String
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: credits, Argument: reverse",GraphQL::Types::Boolean
Argument,sortKey,Sort the underlying list by the given key.,"Type: , Field: credits, Argument: sortKey",#<Class:0x0000000100a8f8d0>
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x00000001047d8570>
Field,launchUrl,The URL to launch the application.,"Type: , Field: launchUrl",#<GraphQL::Schema::NonNull:0x00000001068fcd00>
Field,metafield,Returns a metafield by namespace and key that belongs to the resource.,"Type: , Field: metafield",#<Class:0x0000000106153360>
Argument,namespace,The namespace for the metafield.,"Type: , Field: metafield, Argument: namespace",GraphQL::Types::String
Argument,key,The key for the metafield.,"Type: , Field: metafield, Argument: key",#<GraphQL::Schema::NonNull:0x00000001047d7b20>
Field,metafields,List of metafields that belong to the resource.,"Type: , Field: metafields",#<GraphQL::Schema::NonNull:0x00000001068f5938>
Argument,namespace,The metafield namespace to filter by.,"Type: , Field: metafields, Argument: namespace",GraphQL::Types::String
Argument,keys,"List of keys of metafields in the format `namespace.key`, will be returned in the same format.","Type: , Field: metafields, Argument: keys",#<GraphQL::Schema::List:0x00000001047d7508>
